iter	MultiClass
0	1.608188535
1	1.606978257
2	1.60572119
3	1.604517351
4	1.603361217
5	1.602178498
6	1.600942328
7	1.599709001
8	1.598509261
9	1.597329452
10	1.596136706
11	1.594903135
12	1.593751135
13	1.592559171
14	1.591369725
15	1.590237335
16	1.589052206
17	1.587935591
18	1.586749126
19	1.585569229
20	1.58448004
21	1.583352573
22	1.582164974
23	1.581038015
24	1.579895693
25	1.578707357
26	1.577539073
27	1.576350866
28	1.575245992
29	1.574108802
30	1.57297695
31	1.571806667
32	1.570686806
33	1.569580411
34	1.568487806
35	1.56740111
36	1.566323727
37	1.565181021
38	1.564031716
39	1.56289514
40	1.561785646
41	1.560694174
42	1.559584494
43	1.558461566
44	1.557397761
45	1.556334109
46	1.555251554
47	1.554132813
48	1.553044179
49	1.551949767
50	1.550916466
51	1.549820817
52	1.548724735
53	1.547685121
54	1.546682286
55	1.545626534
56	1.544530336
57	1.543416071
58	1.542338674
59	1.54126005
60	1.540166347
61	1.539080344
62	1.53806521
63	1.536994717
64	1.535944374
65	1.53488902
66	1.533845245
67	1.532784004
68	1.531733084
69	1.530687521
70	1.529664353
71	1.528677995
72	1.527639327
73	1.526573296
74	1.525590249
75	1.524542652
76	1.523547566
77	1.522490912
78	1.521470479
79	1.520502511
80	1.519547798
81	1.518522263
82	1.517557966
83	1.516566982
84	1.515584466
85	1.514594483
86	1.513642039
87	1.512740826
88	1.511735961
89	1.510742296
90	1.509737465
91	1.508753854
92	1.507810977
93	1.506855296
94	1.505868401
95	1.504919526
96	1.503936953
97	1.502943865
98	1.501967335
99	1.501019816
100	1.500061462
101	1.499131859
102	1.498177885
103	1.497240101
104	1.496305171
105	1.495386694
106	1.494420096
107	1.49348435
108	1.492576442
109	1.491602909
110	1.490698465
111	1.489789359
112	1.488853622
113	1.487894607
114	1.486952148
115	1.486022854
116	1.485114849
117	1.484180031
118	1.483233567
119	1.482326954
120	1.481411403
121	1.480480241
122	1.479547462
123	1.478618195
124	1.477734806
125	1.476854179
126	1.476043592
127	1.47515728
128	1.474235365
129	1.473360673
130	1.472500565
131	1.471577218
132	1.470663504
133	1.469753058
134	1.468878417
135	1.467973011
136	1.467103755
137	1.466212226
138	1.465343965
139	1.464427973
140	1.46355614
141	1.462673891
142	1.461782667
143	1.460923522
144	1.460045955
145	1.459144244
146	1.458295696
147	1.457401011
148	1.456532606
149	1.455668111
150	1.454831775
151	1.45395012
152	1.453121202
153	1.452323446
154	1.451461692
155	1.450629983
156	1.449798387
157	1.448969695
158	1.448161944
159	1.447310233
160	1.446493514
161	1.445630992
162	1.444775562
163	1.443915556
164	1.443070136
165	1.442267676
166	1.44143354
167	1.440591874
168	1.439751475
169	1.43892963
170	1.438089644
171	1.437247772
172	1.43641088
173	1.435591932
174	1.434770412
175	1.43395294
176	1.43312306
177	1.432294632
178	1.431464282
179	1.430715486
180	1.429897419
181	1.429080499
182	1.4282621
183	1.4274827
184	1.426668537
185	1.425854611
186	1.425033091
187	1.424261063
188	1.423453475
189	1.422687272
190	1.421911879
191	1.421150125
192	1.420449392
193	1.419679853
194	1.418890297
195	1.418187043
196	1.417382872
197	1.416609749
198	1.415811653
199	1.415060007
200	1.414294163
201	1.413543711
202	1.412761289
203	1.411990961
204	1.4112072
205	1.410437278
206	1.409701947
207	1.408942994
208	1.40820035
209	1.407448556
210	1.406695603
211	1.405959906
212	1.40521664
213	1.404434265
214	1.403701072
215	1.402950796
216	1.40223298
217	1.401495792
218	1.40073754
219	1.400009705
220	1.399270895
221	1.398509214
222	1.397776856
223	1.397032627
224	1.396278351
225	1.395550328
226	1.394819373
227	1.394107868
228	1.393386778
229	1.392628728
