iter	Passed	Remaining
0	75	15098
1	112	11164
2	146	9600
3	172	8433
4	199	7765
5	225	7277
6	251	6934
7	275	6616
8	307	6523
9	343	6527
10	374	6434
11	413	6473
12	447	6443
13	480	6378
14	512	6323
15	542	6240
16	575	6195
17	611	6181
18	638	6082
19	669	6024
20	696	5933
21	745	6030
22	853	6567
23	888	6515
24	919	6437
25	947	6343
26	985	6315
27	1020	6271
28	1035	6105
29	1067	6048
30	1096	5980
31	1130	5936
32	1165	5900
33	1200	5859
34	1234	5820
35	1269	5781
36	1301	5732
37	1335	5693
38	1366	5640
39	1397	5590
40	1432	5555
41	1462	5501
42	1492	5449
43	1525	5410
44	1559	5372
45	1593	5334
46	1624	5288
47	1659	5254
48	1691	5212
49	1722	5166
50	1754	5126
51	1786	5084
52	1817	5040
53	1851	5006
54	1881	4959
55	1912	4916
56	1944	4878
57	1957	4793
58	1985	4745
59	2019	4712
60	2051	4674
61	2086	4644
62	2099	4564
63	2127	4521
64	2154	4475
65	2185	4438
66	2218	4404
67	2250	4368
68	2280	4329
69	2315	4300
70	2351	4273
71	2383	4237
72	2416	4203
73	2450	4171
74	2485	4141
75	2515	4104
76	2546	4068
77	2581	4037
78	2611	3999
79	2647	3971
80	2676	3932
81	2708	3896
82	2736	3857
83	2754	3803
84	2784	3766
85	2819	3738
86	2857	3711
87	2894	3684
88	2931	3656
89	2962	3620
90	2995	3587
91	3032	3559
92	3066	3528
93	3097	3493
94	3128	3458
95	3161	3424
96	3195	3392
97	3227	3358
98	3260	3325
99	3292	3292
100	3324	3258
101	3356	3224
102	3402	3204
103	3434	3169
104	3467	3136
105	3498	3102
106	3531	3069
107	3564	3036
108	3595	3001
109	3627	2968
110	3660	2934
111	3693	2902
112	3725	2868
113	3761	2837
114	3791	2802
115	3821	2767
116	3851	2732
117	3882	2698
118	3913	2664
119	3947	2631
120	3983	2600
121	4015	2567
122	4047	2533
123	4078	2499
124	4111	2466
125	4146	2435
126	4179	2402
127	4212	2369
128	4246	2337
129	4278	2303
130	4313	2271
131	4396	2265
132	4464	2249
133	4500	2216
134	4534	2183
135	4567	2149
136	4598	2114
137	4631	2080
138	4664	2047
139	4695	2012
140	4726	1977
141	4758	1943
142	4793	1910
143	4826	1877
144	4857	1842
145	4884	1806
146	4919	1773
147	4952	1739
148	4985	1706
149	5017	1672
150	5051	1639
151	5081	1604
152	5112	1570
153	5140	1535
154	5175	1502
155	5208	1468
156	5244	1436
